Country or Area ID, Country or Area, Year, Series Description, Date of Last Election, Footnote for Last Election Date, Percentage of Seats Held by Women, Additional Footnotes, Data Source
736,Sudan [former],2005,"Seats held by women in national parliament, as of February (%)",,,9.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
736,Sudan [former],2010,"Seats held by women in national parliament, as of February (%)",,,18.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
740,Suriname,2000,"Seats held by women in national parliament, as of February (%)",2020-05,,15.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
740,Suriname,2005,"Seats held by women in national parliament, as of February (%)",2020-05,,19.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
740,Suriname,2010,"Seats held by women in national parliament, as of February (%)",2020-05,,25.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
740,Suriname,2015,"Seats held by women in national parliament, as of February (%)",2020-05,,11.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
740,Suriname,2018,"Seats held by women in national parliament, as of February (%)",2020-05,,25.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
740,Suriname,2019,"Seats held by women in national parliament, as of February (%)",2020-05,,29.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
740,Suriname,2020,"Seats held by women in national parliament, as of February (%)",2020-05,,31.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
740,Suriname,2021,"Seats held by women in national parliament, as of February (%)",2020-05,,29.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
740,Suriname,2022,"Seats held by women in national parliament, as of February (%)",2020-05,,29.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
752,Sweden,2000,"Seats held by women in national parliament, as of February (%)",2018-09,,42.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
752,Sweden,2005,"Seats held by women in national parliament, as of February (%)",2018-09,,45.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
752,Sweden,2010,"Seats held by women in national parliament, as of February (%)",2018-09,,46.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
752,Sweden,2015,"Seats held by women in national parliament, as of February (%)",2018-09,,43.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
752,Sweden,2018,"Seats held by women in national parliament, as of February (%)",2018-09,,43.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
752,Sweden,2019,"Seats held by women in national parliament, as of February (%)",2018-09,,47.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
752,Sweden,2020,"Seats held by women in national parliament, as of February (%)",2018-09,,47.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
752,Sweden,2021,"Seats held by women in national parliament, as of February (%)",2018-09,,47.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
752,Sweden,2022,"Seats held by women in national parliament, as of February (%)",2018-09,,46.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
756,Switzerland,2000,"Seats held by women in national parliament, as of February (%)",2019-10,,22.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
756,Switzerland,2005,"Seats held by women in national parliament, as of February (%)",2019-10,,25.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
756,Switzerland,2010,"Seats held by women in national parliament, as of February (%)",2019-10,,29.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
756,Switzerland,2015,"Seats held by women in national parliament, as of February (%)",2019-10,,30.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
756,Switzerland,2018,"Seats held by women in national parliament, as of February (%)",2019-10,,32.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
756,Switzerland,2019,"Seats held by women in national parliament, as of February (%)",2019-10,,32.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
756,Switzerland,2020,"Seats held by women in national parliament, as of February (%)",2019-10,,41.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
756,Switzerland,2021,"Seats held by women in national parliament, as of February (%)",2019-10,,42.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
756,Switzerland,2022,"Seats held by women in national parliament, as of February (%)",2019-10,,42.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
760,Syrian Arab Republic,2000,"Seats held by women in national parliament, as of February (%)",2020-07,,10.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
760,Syrian Arab Republic,2005,"Seats held by women in national parliament, as of February (%)",2020-07,,12.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
760,Syrian Arab Republic,2010,"Seats held by women in national parliament, as of February (%)",2020-07,,12.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
760,Syrian Arab Republic,2015,"Seats held by women in national parliament, as of February (%)",2020-07,,12.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
760,Syrian Arab Republic,2018,"Seats held by women in national parliament, as of February (%)",2020-07,,13.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
760,Syrian Arab Republic,2019,"Seats held by women in national parliament, as of February (%)",2020-07,,13.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
760,Syrian Arab Republic,2020,"Seats held by women in national parliament, as of February (%)",2020-07,,12.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
760,Syrian Arab Republic,2021,"Seats held by women in national parliament, as of February (%)",2020-07,,11.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
760,Syrian Arab Republic,2022,"Seats held by women in national parliament, as of February (%)",2020-07,,11.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
762,Tajikistan,2000,"Seats held by women in national parliament, as of February (%)",2020-03,,2.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
762,Tajikistan,2005,"Seats held by women in national parliament, as of February (%)",2020-03,,12.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
762,Tajikistan,2010,"Seats held by women in national parliament, as of February (%)",2020-03,,17.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
762,Tajikistan,2015,"Seats held by women in national parliament, as of February (%)",2020-03,,16.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
762,Tajikistan,2018,"Seats held by women in national parliament, as of February (%)",2020-03,,19.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
762,Tajikistan,2019,"Seats held by women in national parliament, as of February (%)",2020-03,,19.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
762,Tajikistan,2020,"Seats held by women in national parliament, as of February (%)",2020-03,,19.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
762,Tajikistan,2021,"Seats held by women in national parliament, as of February (%)",2020-03,,23.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
762,Tajikistan,2022,"Seats held by women in national parliament, as of February (%)",2020-03,,27.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
764,Thailand,2000,"Seats held by women in national parliament, as of February (%)",2019-03,,5.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
764,Thailand,2005,"Seats held by women in national parliament, as of February (%)",2019-03,,8.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
764,Thailand,2010,"Seats held by women in national parliament, as of February (%)",2019-03,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
764,Thailand,2015,"Seats held by women in national parliament, as of February (%)",2019-03,,6.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
764,Thailand,2018,"Seats held by women in national parliament, as of February (%)",2019-03,,4.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
764,Thailand,2019,"Seats held by women in national parliament, as of February (%)",2019-03,,5.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
764,Thailand,2020,"Seats held by women in national parliament, as of February (%)",2019-03,,16.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
764,Thailand,2021,"Seats held by women in national parliament, as of February (%)",2019-03,,15.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
764,Thailand,2022,"Seats held by women in national parliament, as of February (%)",2019-03,,15.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
626,Timor-Leste,2005,"Seats held by women in national parliament, as of February (%)",2018-05,,25.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
626,Timor-Leste,2010,"Seats held by women in national parliament, as of February (%)",2018-05,,29.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
626,Timor-Leste,2015,"Seats held by women in national parliament, as of February (%)",2018-05,,38.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
626,Timor-Leste,2018,"Seats held by women in national parliament, as of February (%)",2018-05,,32.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
626,Timor-Leste,2019,"Seats held by women in national parliament, as of February (%)",2018-05,,40.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
626,Timor-Leste,2020,"Seats held by women in national parliament, as of February (%)",2018-05,,38.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
626,Timor-Leste,2021,"Seats held by women in national parliament, as of February (%)",2018-05,,38.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
626,Timor-Leste,2022,"Seats held by women in national parliament, as of February (%)",2018-05,,40.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
768,Togo,2000,"Seats held by women in national parliament, as of February (%)",2018-12,,4.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
768,Togo,2005,"Seats held by women in national parliament, as of February (%)",2018-12,,6.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
768,Togo,2010,"Seats held by women in national parliament, as of February (%)",2018-12,,11.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
768,Togo,2015,"Seats held by women in national parliament, as of February (%)",2018-12,,17.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
768,Togo,2018,"Seats held by women in national parliament, as of February (%)",2018-12,,17.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
768,Togo,2019,"Seats held by women in national parliament, as of February (%)",2018-12,,16.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
768,Togo,2020,"Seats held by women in national parliament, as of February (%)",2018-12,,18.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
768,Togo,2021,"Seats held by women in national parliament, as of February (%)",2018-12,,18.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
768,Togo,2022,"Seats held by women in national parliament, as of February (%)",2018-12,,18.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
776,Tonga,2000,"Seats held by women in national parliament, as of February (%)",2021-11,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
776,Tonga,2005,"Seats held by women in national parliament, as of February (%)",2021-11,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
776,Tonga,2010,"Seats held by women in national parliament, as of February (%)",2021-11,,3.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
776,Tonga,2015,"Seats held by women in national parliament, as of February (%)",2021-11,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
776,Tonga,2018,"Seats held by women in national parliament, as of February (%)",2021-11,,7.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
776,Tonga,2019,"Seats held by women in national parliament, as of February (%)",2021-11,,7.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
776,Tonga,2020,"Seats held by women in national parliament, as of February (%)",2021-11,,7.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
776,Tonga,2021,"Seats held by women in national parliament, as of February (%)",2021-11,,7.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
776,Tonga,2022,"Seats held by women in national parliament, as of February (%)",2021-11,,3.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
780,Trinidad and Tobago,2000,"Seats held by women in national parliament, as of February (%)",2020-08,,11.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
780,Trinidad and Tobago,2005,"Seats held by women in national parliament, as of February (%)",2020-08,,19.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
780,Trinidad and Tobago,2010,"Seats held by women in national parliament, as of February (%)",2020-08,,26.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
780,Trinidad and Tobago,2015,"Seats held by women in national parliament, as of February (%)",2020-08,,28.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
780,Trinidad and Tobago,2018,"Seats held by women in national parliament, as of February (%)",2020-08,,31.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
780,Trinidad and Tobago,2019,"Seats held by women in national parliament, as of February (%)",2020-08,,31.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
780,Trinidad and Tobago,2020,"Seats held by women in national parliament, as of February (%)",2020-08,,31.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
780,Trinidad and Tobago,2021,"Seats held by women in national parliament, as of February (%)",2020-08,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
780,Trinidad and Tobago,2022,"Seats held by women in national parliament, as of February (%)",2020-08,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
788,Tunisia,2000,"Seats held by women in national parliament, as of February (%)",2019-10,,11.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
788,Tunisia,2005,"Seats held by women in national parliament, as of February (%)",2019-10,,22.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
788,Tunisia,2010,"Seats held by women in national parliament, as of February (%)",2019-10,,27.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
788,Tunisia,2015,"Seats held by women in national parliament, as of February (%)",2019-10,,31.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
788,Tunisia,2018,"Seats held by women in national parliament, as of February (%)",2019-10,,31.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
788,Tunisia,2019,"Seats held by women in national parliament, as of February (%)",2019-10,,35.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
788,Tunisia,2020,"Seats held by women in national parliament, as of February (%)",2019-10,,24.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
788,Tunisia,2021,"Seats held by women in national parliament, as of February (%)",2019-10,,26.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
788,Tunisia,2022,"Seats held by women in national parliament, as of February (%)",2019-10,,26.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
792,Türkiye,2000,"Seats held by women in national parliament, as of February (%)",2018-06,,4.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
792,Türkiye,2005,"Seats held by women in national parliament, as of February (%)",2018-06,,4.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
792,Türkiye,2010,"Seats held by women in national parliament, as of February (%)",2018-06,,9.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
792,Türkiye,2015,"Seats held by women in national parliament, as of February (%)",2018-06,,14.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
792,Türkiye,2018,"Seats held by women in national parliament, as of February (%)",2018-06,,14.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
792,Türkiye,2019,"Seats held by women in national parliament, as of February (%)",2018-06,,17.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
792,Türkiye,2020,"Seats held by women in national parliament, as of February (%)",2018-06,,17.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
792,Türkiye,2021,"Seats held by women in national parliament, as of February (%)",2018-06,,17.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
792,Türkiye,2022,"Seats held by women in national parliament, as of February (%)",2018-06,,17.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
795,Turkmenistan,2000,"Seats held by women in national parliament, as of February (%)",2018-03,,26.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
795,Turkmenistan,2010,"Seats held by women in national parliament, as of February (%)",2018-03,,16.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
795,Turkmenistan,2015,"Seats held by women in national parliament, as of February (%)",2018-03,,25.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
795,Turkmenistan,2018,"Seats held by women in national parliament, as of February (%)",2018-03,,25.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
795,Turkmenistan,2019,"Seats held by women in national parliament, as of February (%)",2018-03,,25.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
795,Turkmenistan,2020,"Seats held by women in national parliament, as of February (%)",2018-03,,25.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
795,Turkmenistan,2021,"Seats held by women in national parliament, as of February (%)",2018-03,,25.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
795,Turkmenistan,2022,"Seats held by women in national parliament, as of February (%)",2018-03,,25.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
798,Tuvalu,2000,"Seats held by women in national parliament, as of February (%)",2019-09,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
798,Tuvalu,2005,"Seats held by women in national parliament, as of February (%)",2019-09,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
798,Tuvalu,2010,"Seats held by women in national parliament, as of February (%)",2019-09,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
798,Tuvalu,2015,"Seats held by women in national parliament, as of February (%)",2019-09,,6.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
798,Tuvalu,2018,"Seats held by women in national parliament, as of February (%)",2019-09,,6.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
798,Tuvalu,2019,"Seats held by women in national parliament, as of February (%)",2019-09,,6.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
798,Tuvalu,2020,"Seats held by women in national parliament, as of February (%)",2019-09,,6.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
798,Tuvalu,2021,"Seats held by women in national parliament, as of February (%)",2019-09,,6.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
798,Tuvalu,2022,"Seats held by women in national parliament, as of February (%)",2019-09,,6.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
800,Uganda,2000,"Seats held by women in national parliament, as of February (%)",2021-01,,17.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
800,Uganda,2005,"Seats held by women in national parliament, as of February (%)",2021-01,,23.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
800,Uganda,2010,"Seats held by women in national parliament, as of February (%)",2021-01,,31.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
800,Uganda,2015,"Seats held by women in national parliament, as of February (%)",2021-01,,35.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
800,Uganda,2018,"Seats held by women in national parliament, as of February (%)",2021-01,,34.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
800,Uganda,2019,"Seats held by women in national parliament, as of February (%)",2021-01,,34.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
800,Uganda,2020,"Seats held by women in national parliament, as of February (%)",2021-01,,34.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
800,Uganda,2021,"Seats held by women in national parliament, as of February (%)",2021-01,,34.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
800,Uganda,2022,"Seats held by women in national parliament, as of February (%)",2021-01,,33.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
804,Ukraine,2000,"Seats held by women in national parliament, as of February (%)",2019-07,,7.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
804,Ukraine,2005,"Seats held by women in national parliament, as of February (%)",2019-07,,5.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
804,Ukraine,2010,"Seats held by women in national parliament, as of February (%)",2019-07,,8.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
804,Ukraine,2015,"Seats held by women in national parliament, as of February (%)",2019-07,,11.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
804,Ukraine,2018,"Seats held by women in national parliament, as of February (%)",2019-07,,12.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
804,Ukraine,2019,"Seats held by women in national parliament, as of February (%)",2019-07,,11.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
804,Ukraine,2020,"Seats held by women in national parliament, as of February (%)",2019-07,,20.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
804,Ukraine,2021,"Seats held by women in national parliament, as of February (%)",2019-07,,20.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
804,Ukraine,2022,"Seats held by women in national parliament, as of February (%)",2019-07,,20.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
784,United Arab Emirates,2000,"Seats held by women in national parliament, as of February (%)",2019-10,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
